"","day","temp","crime_data_count"
"581",6,73.8,973
"582",7,68.6,922
"583",1,66.2,853
"584",2,71.8,905
"585",3,78.9,940
"586",4,71.6,911
"587",5,71.7,987
"588",6,74,1019
"589",7,71.3,896
"590",1,74.2,983
"591",2,67,900
"592",3,63.7,882
"593",4,64.2,924
"594",5,69.3,925
"595",6,70.6,944
"596",7,71.8,882
"597",1,72.2,938
"598",2,77.2,962
"599",3,79.4,864
"600",4,75.1,906
"601",5,72.6,907
"602",6,72.7,941
"603",7,76.9,949
"604",1,80.3,942
"605",2,84.3,885
"606",3,81,902
"607",4,77,872
"608",5,80.3,934
"609",6,72.9,816
"610",7,74.4,1116
"611",1,72,928
"612",2,66.2,873
"613",3,69.5,839
"614",4,71.5,928
"615",5,69.2,897
"616",6,76.3,921
"617",7,74.8,866
"618",1,78.2,868
"619",2,86.8,916
"620",3,82.7,872
"621",4,75,857
"622",5,61.8,887
"623",6,59,829
"624",7,59,835
"625",1,58.9,776
"626",2,58.8,838
"627",3,67.7,854
"628",4,72.6,852
"629",5,72.6,946
"630",6,60.5,904
"631",7,56.9,757
"632",1,57.6,849
"633",2,60.1,921
"634",3,61.5,886
"635",4,63.1,856
"636",5,65.9,965
"637",6,68,923
"638",7,65.3,758
"639",1,59.6,833
"640",2,66.9,1101
"641",3,70.1,869
"642",4,67.6,859
"643",5,69.5,874
"644",6,69.3,852
"645",7,59.7,743
"646",1,52.8,777
"647",2,58.5,801
"648",3,59.9,881
"649",4,60.6,856
"650",5,63.6,871
"651",6,62.4,821
"652",7,55,779
"653",1,53.6,783
"654",2,57.2,783
"655",3,52,802
"656",4,50.1,778
"657",5,44.6,837
"658",6,47.1,778
"659",7,47.2,808
"660",1,49.8,779
"661",2,35.9,750
"662",3,38,751
"663",4,39,766
"664",5,38.5,843
"665",6,47.4,745
"666",7,42.2,750
"667",1,44.7,840
"668",2,47.4,851
"669",3,52.1,831
"670",4,61.3,921
"671",5,47.3,1013
"672",6,43.7,776
"673",7,42.4,798
"674",1,47.9,830
"675",2,52.7,828
"676",3,52,785
"677",4,37.5,772
"678",5,37,864
"679",6,49.3,773
"680",7,43.1,753
"681",1,41.9,686
"682",2,27.3,688
"683",3,27.8,826
"684",4,38.4,766
"685",5,43.5,934
"686",6,47.1,763
"687",7,60.1,740
"688",1,41.1,858
"689",2,33.1,850
"690",3,35.7,869
"691",4,44.3,864
"692",5,40,852
"693",6,25.3,672
"694",7,17.9,640
"695",1,25.9,680
"696",2,31.1,831
"697",3,20.8,733
"698",4,26.5,567
"699",5,25.3,807
"700",6,36,746
"701",7,37.1,877
